x [m]	y [m]
0.002414	0.000000
0.002454	0.000289
0.002460	0.000587
0.002431	0.000890
0.002364	0.001196
0.002261	0.001498
0.002119	0.001793
0.001940	0.002076
0.001724	0.002342
0.001472	0.002587
0.001187	0.002805
0.000872	0.002994
0.000528	0.003147
0.000161	0.003262
-0.000226	0.003336
-0.000629	0.003364
-0.001041	0.003344
-0.001458	0.003275
-0.001874	0.003155
-0.002282	0.002983
-0.002676	0.002759
-0.003050	0.002485
-0.003398	0.002162
-0.003712	0.001791
-0.003988	0.001377
-0.004218	0.000923
-0.004398	0.000435
-0.004523	-0.000084
-0.004588	-0.000626
-0.004589	-0.001185
-0.004523	-0.001753
-0.004388	-0.002322
-0.004183	-0.002885
-0.003907	-0.003433
-0.003562	-0.003956
-0.003148	-0.004447
-0.002668	-0.004897
-0.002127	-0.005297
-0.001529	-0.005639
-0.000880	-0.005915
-0.000188	-0.006118
0.000540	-0.006241
0.001295	-0.006280
0.002067	-0.006229
0.002846	-0.006085
0.003620	-0.005845
0.004379	-0.005509
0.005109	-0.005077
0.005801	-0.004550
0.006440	-0.003932
0.007017	-0.003227
0.007518	-0.002442
0.007935	-0.001584
0.008255	-0.000661
0.008471	0.000314
0.008573	0.001332
0.008555	0.002379
0.008413	0.003441
0.008140	0.004503
0.007737	0.005550
0.007201	0.006567
0.006535	0.007536
0.005743	0.008442
0.004829	0.009268
0.003801	0.009998
0.002669	0.010617
0.001444	0.011112
0.000139	0.011468
-0.001229	0.011674
-0.002645	0.011720
-0.004089	0.011598
-0.005543	0.011301
-0.006985	0.010825
-0.008395	0.010169
-0.009749	0.009334
-0.011026	0.008323
-0.012203	0.007143
-0.013258	0.005802
-0.014171	0.004314
-0.014920	0.002691
-0.015489	0.000952
-0.015859	-0.000883
-0.016015	-0.002793
-0.015946	-0.004754
-0.015641	-0.006738
-0.015094	-0.008719
-0.014302	-0.010667
-0.013263	-0.012553
-0.011982	-0.014346
-0.010466	-0.016015
-0.008724	-0.017531
-0.006773	-0.018863
-0.004631	-0.019984
-0.002319	-0.020868
0.000137	-0.021490
0.002708	-0.021829
0.005362	-0.021866
0.008064	-0.021587
0.010777	-0.020980
0.013463	-0.020038
